"","Crime","Date","Address","Neighborhood","Booking"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/20/2017","115 W MONUMENT AV","Downtown",""
"assets/crime/Property2_VA.png","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","06/19/2017","211 S WILKINSON ST","Downtown","1706200875"
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/19/2017","211 S WILKINSON ST","Downtown","1706200875"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/15/2017","44 N JEFFERSON ST","Downtown","1706150736"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/15/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/15/2017","4 S MAIN ST","Downtown",""
"assets/crime/Violent2_ME.png","MENACING","06/13/2017","20 N JEFFERSON ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/13/2017","141 W THIRD ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/13/2017","141 W THIRD ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/13/2017","141 W THIRD ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","06/11/2017","141 W THIRD ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/08/2017","230 N MAIN ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","06/08/2017","308 E THIRD ST","Downtown",""
"assets/crime/Violent2_KI.png","KIDNAPING/ABDUCTION","06/06/2017","4 S MAIN ST","Downtown","1706060451"
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/04/2017","2 E FOURTH ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/04/2017","115 W MONUMENT AV","Downtown",""
"assets/crime/Violent_RO.png","UNARMED ROBBERY","06/03/2017","11 S LUDLOW ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","06/02/2017","210 N MAIN ST","Downtown","1706030321"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/02/2017","210 N MAIN ST","Downtown","1706030321"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","06/02/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property2_VA.png","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","05/30/2017","44 N JEFFERSON ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","05/29/2017","233 E SECOND ST","Downtown",""
"assets/crime/Property_SH.png","SHOPLIFTING","05/27/2017","32 N LUDLOW ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/26/2017","4 S MAIN ST","Downtown","1705260034"
"assets/crime/Violent2_ME.png","MENACING","05/26/2017","20 N JEFFERSON ST","Downtown","1705270054"
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/26/2017","20 N JEFFERSON ST","Downtown","1705270054"
"assets/crime/Violent_RO.png","UNARMED ROBBERY","05/23/2017","105 S WILKINSON ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/23/2017","371 W SECOND ST","Downtown","1705239910"
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/23/2017","371 W SECOND ST","Downtown","1705239910"
"assets/crime/Property2_VA.png","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","05/22/2017","36 W THIRD ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","05/21/2017","225 S MAIN ST","Downtown",""
"assets/crime/Violent2_ME.png","MENACING","05/19/2017","11 W MONUMENT AV","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/18/2017","126 W FIFTH ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/16/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property_MV.png","MOTOR VEHICLE THEFT","05/16/2017","8 N MAIN ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","05/16/2017","220 E MONUMENT AV","Downtown","1705179676"
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/16/2017","126 W FIFTH ST","Downtown","1705169630"
"assets/crime/Property_TB.png","THEFT FROM BUILDING","05/15/2017","230 N MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/13/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/11/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/10/2017","210 N MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/10/2017","203 LIBERTY ST","Downtown",""
"assets/crime/Property_BE.png","BREAKING AND ENTERING","05/07/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property2_VA.png","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","05/07/2017","4 S MAIN ST","Downtown",""
"assets/crime/Violent2_SA.png","SIMPLE ASSAULT","05/06/2017","371 W SECOND ST","Downtown","1705069321"
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/05/2017","215 W MONUMENT AV","Downtown",""
"assets/crime/Property_TB.png","THEFT FROM BUILDING","05/02/2017","139 N MAIN ST","Downtown",""
"assets/crime/Property_LA.png","ALL OTHER LARCENY","05/01/2017","4 S MAIN ST","Downtown",""
"assets/crime/Property_TM.png","THEFT FROM MOTOR VEHICLE","05/01/2017","131 N LUDLOW ST","Downtown",""
